# index, meta, _pos
1342,julio,"array([-9.2374321 , 34.12351653])"
1343,jallison,"array([-23.74771985,  45.67117716])"
1344,bbum,"array([-27.53661911,  77.60834794])"
1345,brendan,"array([-39.26011515,  55.85035402])"
1346,nmw,"array([-34.86453288,  60.07449866])"
1347,ekkerbj,"array([-38.97775485,  93.97666948])"
1348,rkunkel,"array([ 63.29695303, 335.35955518])"
1349,kiniry,"array([-54.31090868,  58.55749558])"
1350,bondolo,"array([-44.28176712,  66.81929121])"
1351,Perrin,"array([-37.3201923 ,  12.55398458])"
1352,xmldoc,"array([-35.62047837,  33.39718345])"
1353,jpr,"array([-23.15218403,  28.03634667])"
1354,biz,"array([-51.76677533,  64.77319043])"
1355,dngor,"array([-28.18514384,  82.4371944 ])"
1356,campd,"array([-23.47671294,  28.76722931])"
1357,mhausenblas,"array([-57.58587452,  35.65131012])"
1358,vanquish,"array([-253.0673916 , -245.16755668])"
1359,think,"array([-60.96954166,   0.06729572])"
1360,mslicker,"array([-38.39025027,  35.88911647])"
1361,tnt,"array([-44.9822968 ,  34.06122628])"
1362,gicmo,"array([-31.96347572,  20.417766  ])"
1363,simos,"array([-37.95414153,  14.87368143])"
1364,robsta,"array([-41.83415665,  15.00228699])"
1365,e8johan,"array([-43.2021705 ,  28.68179596])"
1366,lloydwood,"array([-48.45711214,  35.41527787])"
1367,4ngel,"array([-58.517851  ,  -2.81779496])"
1368,MartySchrader,"array([-43.50346462,  23.52452556])"
1369,mentifex,"array([-49.84691866,  31.41886623])"
1370,AlanHorkan,"array([-33.38884773,  24.15843142])"
1371,njh,"array([-10.27645426,  28.79041474])"
1372,nyo,"array([-47.19267378,   5.62530347])"
1373,titus,"array([-55.06520483,  28.50191594])"
1374,dwragg,"array([-69.44658628,  33.28781337])"
1375,tiagovaz,"array([-31.33994785,   6.96054355])"
1376,eniss,"array([-53.61336946,   3.55977821])"
1377,badvogato,"array([-49.12061919,  31.89954113])"
1378,otavio,"array([-27.61354939,   5.94689642])"
1379,goedson,"array([-32.64107764,  -1.89929097])"
1380,parkerc,"array([-45.05881579,  18.56221171])"
1381,lyxmoo,"array([-48.47548283,   6.85571701])"
1382,dfenwick,"array([-44.80064272,  22.67172968])"
1383,elanthis,"array([-33.81472216,  27.98229223])"
1384,grey,"array([-51.11995827,  34.40412591])"
1385,faw,"array([-27.18282482,  10.71540482])"
1386,beto,"array([-36.48078854,  29.6899055 ])"
1387,Xorian,"array([-53.50751507,  39.24836157])"
1388,si0ux,"array([-37.42789397,   6.72519562])"
1389,forrest,"array([-36.46402935,  37.69781333])"
1390,dlehn,"array([-35.33982675,  27.87185187])"
1391,herzi,"array([-37.28183838,  17.59309514])"
1392,baruch,"array([-38.7688829 ,  30.02082812])"
1393,brouhaha,"array([-35.75666938,  29.16284376])"
1394,harshy,"array([-35.77115665,  22.60405884])"
1395,dion,"array([-59.36378578,   9.16743556])"
1396,ensonic,"array([-33.90600218,  11.30645805])"
1397,oubiwann,"array([-51.63217415,  35.15155715])"
1398,cerquide,"array([-35.48018815,  32.55844828])"
1399,maswan,"array([-15.98503031,  33.82680546])"
1400,sjburges,"array([-15.05573878,  32.54513367])"
1401,henrik,"array([-19.61278473,  50.37377695])"
1402,bagfors,"array([-12.63841932,  32.54426622])"
1403,norpan,"array([-10.95182017,  22.32563467])"
1404,PatrikR,"array([-12.94827979,  46.26868795])"
1405,angel,"array([-5.81718451, 17.14738263])"
1406,JALH,"array([-18.65682104,  28.21726635])"
1407,dinsdale,"array([-36.43418413,  58.02009655])"
1408,mihtjel,"array([-11.05674062,  35.42561329])"
1409,dmwaters,"array([-23.63838504,   5.55478781])"
1410,mstevens,"array([-23.11117867,  50.22039389])"
1411,tews,"array([-25.53810143, 405.65467513])"
1412,skeezix,"array([-13.30773757,  37.91891107])"
1413,Eimi,"array([11.26399805, 42.58394078])"
1414,mrorganic,"array([-23.85147899,  49.6024287 ])"
1415,rbultje,"array([-33.21876134,  15.4792839 ])"
1416,ds,"array([-34.42015052,  19.54172856])"
1417,thomasvs,"array([-33.55079908,  26.43187046])"
1418,adrighem,"array([-41.39433183,   0.1853334 ])"
1419,peaceandlove,"array([-41.40701314,  11.73531709])"
1420,lusena,"array([-24.47457971,  79.79176686])"
1421,tmattox,"array([-30.55791875,  65.55934832])"
1422,liquidgod,"array([-29.64326748,  86.63644302])"
1423,cvbear0,"array([-32.47010691,  77.26814263])"
1424,unigeek,"array([-33.10582216,  79.08213139])"
1425,cullenfluffyjennings,"array([-12.06293501,  60.14818274])"
1426,Qbert,"array([-25.22759584,  50.08887325])"
1427,stig,"array([-15.18137836,  44.92045153])"
1428,drunen,"array([-10.46913453,  67.089933  ])"
1429,lpd,"array([-20.98698536,  41.46196319])"
1430,caine,"array([-6.18831205, 68.3941242 ])"
1431,serdar20,"array([-342.44289434,  -43.51768375])"
1432,frb,"array([-14.59955461,  36.02115297])"
1433,shawn,"array([-19.33911611,  39.39584197])"
1434,claw,"array([-15.23932287,  46.38066604])"
1435,kmaraas,"array([-23.54025701,  27.19402375])"
1436,itp,"array([-19.50592262,  37.1590544 ])"
1437,james666,"array([-325.31397206,   56.01510398])"
1438,daf,"array([-2.48936844, 50.02812722])"
1439,aelman,"array([-31.8215945 ,  51.38483064])"
1440,gramps,"array([-17.96448563,  50.87514082])"
1441,voda,"array([-15.91689784,  72.73887982])"
1442,amar,"array([  86.38003102, -286.57220799])"
1443,twentycharactersorle,"array([-2.77185325, 48.75775355])"
1444,exedre,"array([-325.72442537, -191.6900756 ])"
1445,mort,"array([-34.60505722,  56.97897951])"
1446,ajh,"array([-20.98539159,  35.98318737])"
1447,kendall,"array([-38.32796299,  63.73770071])"
1448,kmacleod,"array([-31.36485678,  61.29141499])"
1449,wmf,"array([-40.70877392,  52.55047299])"
1450,cbbrowne,"array([-29.78802363,  42.67303827])"
1451,mdorman,"array([-16.31975719,  43.29819896])"
1452,jwb,"array([-38.30463342,  46.31147965])"
1453,drow,"array([-17.41035633,  32.85348596])"
1454,supercobra,"array([319.42297652, -72.36480494])"
1455,FeeBLe,"array([-50.84986313,  10.10237499])"
1456,CarloK,"array([-13.7282323 ,  55.96025071])"
1457,osk,"array([ 2.57511414, 73.87311299])"
1458,bgough,"array([-6.39397817, 53.14367313])"
1459,papyromancer,"array([-370.12684162,  140.98932413])"
1460,bmc,"array([-26.69319846,  83.91537632])"
1461,stas,"array([-32.06785878,  75.20646385])"
1462,arhuman,"array([-30.80448667,  47.29116049])"
1463,japhy,"array([-29.66796665,  50.7358664 ])"
1464,OeufMayo,"array([-33.25352781,  65.64050674])"
1465,legart,"array([-21.53444419,  82.93319877])"
1466,tjmather,"array([-47.19467695,  51.51315807])"
1467,mjl9741,"array([277.67646744, 196.73730357])"
1468,casper,"array([-46.89545605,  36.38287435])"
1469,JackPo,"array([-372.94735652, -161.42594794])"
1470,paulus,"array([-29.86288618,  26.30873397])"
1471,zx64,"array([-35.89596349,  23.51049454])"
1472,comrad,"array([-49.08659551,  22.94774507])"
1473,kynan,"array([ 35.18419973, 412.08404443])"
1474,lazyboy,"array([-231.80816383,  283.89194521])"
1475,bertrand,"array([-15.41769322,  30.67821551])"
1476,AnnaMoo,"array([-1.42434154, 35.40091895])"
1477,Pike,"array([-36.98061532,   4.26579207])"
1478,obrien,"array([-22.40486026,  58.04313749])"
1479,robbe,"array([-3.32091021, 52.48463175])"
1480,ipmonger,"array([-51.1304228 ,  93.36198848])"
1481,Tux,"array([-57.86939436,  68.58130439])"
1482,monk,"array([-29.1648029 ,  37.47710544])"
1483,pabs,"array([-11.69939517,  25.80352262])"
1484,sneakums,"array([-37.30372864,  49.94328223])"
1485,hship,"array([-42.55467054,  46.17234814])"
1486,redmist,"array([-29.99519991,  54.6102299 ])"
1487,jlp,"array([-21.43050367,  51.85238361])"
1488,a7r,"array([-4.3798516 , 28.78668363])"
1489,rodrigo,"array([-21.66508322,  25.85777414])"
1490,cuenca,"array([-24.21026471,  28.19553224])"
1491,alvaro,"array([-25.0845165 ,  16.06832725])"
1492,juantomas,"array([-18.66048191,  21.65328016])"
1493,vab,"array([-41.68116082,  50.676375  ])"
1494,Jody,"array([-26.10486254,  29.12944212])"
1495,Talin,"array([-29.1406564 ,  45.18152874])"
1496,largo,"array([-19.74306755,  40.80900542])"
1497,cpw,"array([-23.43429284,  50.89042614])"
1498,jhb,"array([-22.78863059,  55.74963688])"
1499,six809,"array([-12.68907173,  45.32830761])"
1500,harkal,"array([-59.58912894,  31.90670516])"
1501,lxhispano,"array([-16.81693519,  18.39658024])"
1502,davefx,"array([-17.55133906,  19.51349424])"
1503,bgdarnel,"array([ 5.11230047, 32.48419348])"
1504,mblevin,"array([-4.80956481, 44.02405144])"
1505,MattyT,"array([-4.81294204, 45.30000028])"
1506,dskoll,"array([3.45132174, 8.99161389])"
1507,trollol,"array([-7.56713668, 77.17071831])"
1508,hazen,"array([211.10593042, 260.49193977])"
1509,guidod,"array([-42.34860004,  17.68955056])"
1510,bkorb,"array([-34.3201363 ,  21.18783076])"
1511,braden,"array([-39.42336602,  33.54344064])"
1512,wilm,"array([-61.10018585,  42.69275223])"
1513,lukeg,"array([-41.5823533 ,  30.17139485])"
1514,demoncrat,"array([-44.86912368,  42.76123629])"
1515,ljlane,"array([-8.85428435, 35.40159894])"
1516,walken,"array([-28.54774132,  35.2751272 ])"
1517,aaron,"array([-14.29634271,  31.84649089])"
1518,vorlon,"array([-29.44078138,  20.77802882])"
1519,sbergmann,"array([-37.50900904,  58.96401337])"
1520,Denny,"array([-33.5818008 ,  40.49402221])"
1521,onki,"array([-42.32056631,  36.97589616])"
1522,MarkL,"array([-50.23806065,  54.50839416])"
1523,dajobe,"array([-46.48522578,  34.46880701])"
1524,basilio,"array([-18.03076542,   4.76177918])"
1525,Fabian,"array([-23.45270771,  15.1250161 ])"
1526,mhz,"array([-24.49537946,  13.60407382])"
1527,deb,"array([-28.5571846 ,  14.06793411])"
1528,gpoo,"array([-26.22529415,  16.30445642])"
1529,jci,"array([-26.86623739,   1.85376616])"
1530,pvillavi,"array([-9.74439443,  3.13416565])"
1531,moo,"array([-36.54047071,  76.92044361])"
1532,ruaok,"array([-41.2788916 ,  57.62131489])"
1533,willey,"array([-19.66375898,  60.50550383])"
1534,garrison,"array([-19.92559075,  42.27030347])"
1535,jsheets,"array([-17.46395346,  33.61418773])"
1536,jwcheung,"array([-31.6219585,  58.3141945])"
1537,Burgundavia,"array([-44.13599529,  16.94662948])"
1538,jamiemcc,"array([-44.95417434,   0.64430613])"
1539,jsgotangco,"array([-39.9083255 ,   5.74243311])"
1540,footpad,"array([-33.73091883,  64.03939788])"
1541,fuzzynerd,"array([-43.85324354,  41.52809118])"
1542,lgerbarg,"array([-36.17353889,  44.18870877])"
1543,llasram,"array([-66.89398729,  36.5151149 ])"
1544,adulau,"array([-35.18970425,  34.96666212])"
1545,chrisd,"array([-23.72139271,  42.88979533])"
1546,NickElm,"array([-21.80563397,  40.23968582])"
1547,andersee,"array([-31.64706921,  25.33950122])"
1548,fufie,"array([-44.69666869,  38.76274757])"
1549,iwehrman,"array([-50.61250888,  22.77038884])"
1550,opiate,"array([-29.83828183,  40.19497457])"
1551,fpmip,"array([-38.57083994,  41.29132409])"
1552,renaud,"array([-53.45875597,  38.19113642])"
1553,osvaldo,"array([-22.57540671,  19.95136026])"
1554,eliphas,"array([-18.58113735,  19.78630371])"
1555,RaNma,"array([-57.24858524,  44.27198829])"
1556,anton,"array([-30.65777813,  26.38548003])"
1557,Nelson,"array([-38.82367743,  31.88289091])"
1558,jerry,"array([-39.13147727,  37.91306703])"
1559,jerenkrantz,"array([-41.62791288,  48.80318083])"
1560,baretta,"array([-20.55751408,  22.368947  ])"
1561,dhartmei,"array([-48.74931758,  46.04478209])"
1562,Physicman,"array([-46.33515527,  31.2270186 ])"
1563,lkratz,"array([-52.11862197,  41.73528896])"
1564,rodolphe,"array([-39.18439818,  10.40735054])"
1565,Kouran,"array([-32.98401324,  28.32561631])"
1566,jneves,"array([-15.54954618,  25.29248905])"
1567,villate,"array([-25.89210782,  18.95569629])"
1568,xsa,"array([-48.72073991,  39.92376938])"
1569,Ruffy,"array([-48.27626752,  16.13320088])"
1570,ger,"array([-32.6746624 ,  41.72716447])"
1571,c170,"array([-336.91849194,   -8.77614857])"
1572,mike1,"array([-73.314462  ,  11.57950007])"
1573,esden,"array([-57.8759652 ,  22.30849687])"
1574,blindcoder,"array([-60.74129212,  19.38493045])"
1575,rolla,"array([-75.51186133,  11.65162617])"
1576,mimerki,"array([ -76.31698159, -305.59062905])"
1577,alexm,"array([-32.30723667,  35.03587731])"
1578,markus,"array([-49.6614425 ,  41.79297615])"
1579,hgayosso,"array([-24.62632521,  36.43967602])"
1580,stu,"array([-5.8956777 , 43.54346234])"
1581,pmcgovern,"array([-11.15435413,  48.81389073])"
1582,alecm,"array([-23.1131975 ,  39.84075073])"
1583,brett,"array([-46.93527703,  30.27371847])"
1584,Thias,"array([-30.43981157,  35.96099382])"
1585,Stevey,"array([-36.28918683,  31.69189724])"
1586,acero,"array([-21.93933838,  21.23884425])"
1587,beercan,"array([-11.14732792,  24.96194969])"
1588,zilch,"array([-13.220157  ,  24.55342214])"
1589,anders,"array([-16.27158533,  44.93641086])"
1590,steved,"array([-30.5266147 ,  27.71648451])"
1591,cmm,"array([-26.95867018,  47.31961445])"
1592,JonRock,"array([11.96275992, 49.14414474])"
1593,Melomel,"array([-20.79786194,  46.31826473])"
1594,nosinut,"array([-15.58247656,  33.1773225 ])"
1595,bobg,"array([-15.02391372,  48.21319844])"
1596,hanwen,"array([-19.81744934,  40.06955646])"
1597,craigbro,"array([-33.39308281,  52.34087762])"
1598,prevostjm,"array([14.24506224, 33.23675471])"
1599,lange,"array([-1.70620786, 34.06681522])"
1600,mlsm,"array([-20.12859477,  41.57936617])"
1601,mazeone,"array([-15.47240053,  37.36501022])"
1602,jack,"array([-21.95207565,  54.52195033])"
1603,ashp,"array([-16.26216266,  50.41367599])"
1604,k,"array([-25.78623997,  51.63257078])"
1605,segher,"array([-10.30776506,  33.84960062])"
1606,dchud,"array([-21.53500445,  22.07497665])"
1607,paradox,"array([-8.812824  , -0.36769659])"
1608,eikeon,"array([-43.4505131 ,  42.47910182])"
1609,zahl,"array([-25.10925893,  71.33608671])"
1610,luul2002,"array([-82.72372585,  23.24568654])"
1611,stephan,"array([12.25782125, 32.96332978])"
1612,Tomer,"array([-13.23849903,  33.53429746])"
1613,keskoy,"array([ 10.67233393, 416.26251043])"
1614,vlg2,"array([-389.47996596,  -53.38120653])"
1615,jacob,"array([-19.55849346,  36.28178722])"
1616,gmp,"array([-57.96024061,  37.77647909])"
1617,iamsure,"array([-41.92924273,  21.87359463])"
1618,Axolotl,"array([-36.23835429,  20.70116502])"
1619,trukfixer,"array([-41.60350611,  16.71026573])"
1620,zaldun,"array([-50.85156854,   1.1782867 ])"
1621,polak,"array([-34.3094286 ,  24.79860055])"
1622,bibekpaudel,"array([-64.03599062,   3.60394329])"
1623,dlc,"array([-29.88156769,  36.30209286])"
1624,mlavallee,"array([-51.78622588,  28.96045447])"
1625,krause,"array([-39.60398163,  44.00479293])"
1626,lordsutch,"array([-15.5308483 ,  38.11753911])"
1627,dres,"array([-13.90748431,  36.58920566])"
1628,ploppy,"array([-43.63633096,  21.70242962])"
1629,madhatter,"array([-41.30237716,  28.98646686])"
1630,monkeyiq,"array([-34.0547603,  32.9048655])"
1631,jcm,"array([-14.06286492,  24.2660614 ])"
1632,Centove,"array([-18.8725997 ,  36.66651137])"
1633,zx80user,"array([-44.88413167,  14.63121408])"
1634,bombadil,"array([-17.69366896,  35.06259884])"
1635,RickMuller,"array([-40.60833103,  28.52882901])"
1636,monniaux,"array([-13.07791858,  48.7272955 ])"
1637,maelstrom,"array([-10.04332003,  47.00792759])"
1638,matias,"array([-16.81495816,  41.1034796 ])"
1639,Slimer,"array([-16.02971643,  41.43466448])"
1640,mnot,"array([-31.6939296 ,  46.82347155])"
1641,riggwelter,"array([-31.24101361,  29.79874804])"
1642,conrad,"array([-32.2507069 ,  29.05995426])"
1643,danpat,"array([-13.60155184,  35.81363907])"
1644,menesis,"array([-25.98099994,  30.7451961 ])"
1645,PureFiction,"array([-40.44780801,  46.68812184])"
1646,nils,"array([-15.36842464,  34.12118908])"
1647,egad,"array([-18.68029059,  40.8470703 ])"
1648,leio,"array([-52.39736909,  16.08278601])"
1649,slef,"array([-38.48842879,  33.53841812])"
1650,quad,"array([-16.34482092,  47.78336101])"
1651,proski,"array([-28.06710283,  32.78864321])"
1652,gregorrothfuss,"array([-51.65659747,  48.57459982])"
1653,rotty,"array([-29.64129388,  17.02233265])"
1654,jbs,"array([-25.82136161,  39.35591775])"
1655,linn,"array([-37.96598623,  27.93432642])"
1656,clubfan,"array([-33.2440749 ,  18.33644102])"
1657,kimusan,"array([-20.78535774,  37.25774925])"
1658,mstone,"array([-13.10297946,  27.45624273])"
1659,taral,"array([-27.76825408,  44.26611777])"
1660,Rockwalrus,"array([-15.04682302,  29.98349883])"
1661,alejandro,"array([-31.51763373,  22.29190963])"
1662,plundis,"array([-15.72076291,  43.02039809])"
1663,earthmkii,"array([-24.64359165,  11.0546358 ])"
1664,ramoth4,"array([-39.43588588,  16.07717231])"
1665,leto,"array([-346.19895345,   39.98952464])"
1666,electron,"array([-62.14950158,  54.11474989])"
1667,dak,"array([-41.64135638,  25.09392958])"
1668,dmullen,"array([-42.58322999,  64.45042111])"
1669,ambient,"array([-33.43748723,  74.88103516])"
1670,Malx,"array([-31.4043498 ,  48.23111654])"
1671,Carrok,"array([-39.34586249,  76.28919829])"
1672,piman,"array([-41.44893701,  40.72953053])"
1673,cgushue,"array([-55.73250514,  49.41243263])"
1674,eskimoses,"array([-33.80697385,  54.98642411])"
1675,Lordy,"array([-53.52176692,  60.30832473])"
1676,Donwulff,"array([-43.79856772,  49.07617853])"
1677,Milambar,"array([-51.24551479,  53.8308567 ])"
1678,Mysidia,"array([-43.00423335,  33.37307238])"
1679,jivera,"array([-50.02011314,  63.61598185])"
1680,lanz,"array([-411.51757942,  138.66852218])"
1681,davidm,"array([-21.05874067,  40.76468532])"
1682,spade,"array([ 0.25181103, 24.77582254])"
1683,dido,"array([-13.73658225,  38.82556892])"
1684,ottawaDave,"array([-35.91583124,  35.80738478])"
1685,Dunc,"array([-15.60478871,  51.26522967])"
1686,star,"array([-14.49465439,  45.29867556])"
1687,hugh,"array([-25.19209854,  19.51176798])"
1688,cech,"array([-12.6496094 ,  34.40105188])"
1689,marcel,"array([-11.94476682,  35.04622994])"
1690,cas,"array([-9.8994535 , 37.13226188])"
1691,ajk,"array([-14.44705628,  34.44034474])"
1692,rcw,"array([-14.72195148,  36.83423783])"
1693,woot,"array([-7.121707  , 36.28454879])"
1694,ljb,"array([-11.14867724,  46.65545076])"
1695,edward,"array([-9.95155195, 34.75649176])"
1696,gibreel,"array([-9.42842779, 38.28144183])"
1697,cmr,"array([-4.29286849, 21.69825659])"
1698,wurtel,"array([-8.4661306 , 29.37923113])"
1699,lorrycao,"array([ -60.6264334, -256.5987672])"
1700,phlip,"array([-30.30541281,  53.71070889])"
1701,ReadMe,"array([-33.82846698,  39.22050679])"
1702,mattbradshaw,"array([-30.83498638,  45.90708989])"
1703,Sunir,"array([-43.7388583 ,  52.51493757])"
1704,thomppj,"array([-38.23996753,  56.73160039])"
1705,Titivillus,"array([-43.66544691,  72.69204357])"
1706,lkehresman,"array([-38.09985514,  69.99229503])"
1707,gpadgham,"array([-35.28387546,  71.52472182])"
1708,rlougher,"array([-57.77438351,  12.05060849])"
1709,twisti,"array([-58.58150293,   7.86572628])"
1710,mjw,"array([-41.0069429 ,  23.52078194])"
1711,michi,"array([-62.79270089,   2.04518405])"
1712,sirtheoden,"array([266.86005308, -27.60464159])"
1713,just,"array([-37.81534068,  81.01870303])"
1714,MindFreak,"array([-277.97326397,  310.91045305])"
1715,Perrier,"array([-36.98306128,  19.49202746])"
1716,RobFlynn,"array([-39.21922172,  28.94616994])"
1717,kitsune,"array([-8.90057787, 30.35752918])"
1718,orph,"array([-12.57572642,  25.55132998])"
1719,phil,"array([-12.07956108,  39.33691765])"
1720,camk,"array([-58.26038526,  59.82563571])"
1721,aceponkus,"array([-57.18779165,  57.09950725])"
1722,fielding,"array([-37.7430871 ,  51.78245224])"
1723,sviens,"array([-58.46081768,  58.23397832])"
1724,kwung,"array([  52.58425866, -350.52578183])"
1725,slowhog,"array([375.86481651,  -7.26209109])"
1726,chexum,"array([-21.96519378,  38.91386724])"
1727,data,"array([-5.15093889, 54.02586161])"
1728,grepninja,"array([11.09932591, 71.20656746])"
1729,mcelrath,"array([-7.60832611, 57.27324595])"
1730,micahjd,"array([-31.65002175,  12.11189829])"
1731,davidtrowbridge,"array([-29.54842127,   9.70482382])"
1732,lurgyman,"array([-25.6432094 ,   4.24409848])"
1733,diablod3,"array([-43.98678763,  18.04446149])"
1734,cdwiegand,"array([-2.59024223,  8.06536489])"
1735,tubi,"array([-42.63902156,  69.09249867])"
1736,2B,"array([-49.23104608,  54.87317571])"
1737,nyh,"array([-38.9221348 ,  27.69392841])"
1738,Xantia,"array([-49.26429111,  12.81526472])"
1739,gby,"array([-40.81099437,  26.59178066])"
1740,sun,"array([-37.2045034 ,  20.41367495])"
1741,roozbeh,"array([-30.61572633,  22.51969686])"
1742,kilmo,"array([-37.93507851,  31.23916064])"
1743,frogfoot,"array([-47.49803111,  18.92414788])"
1744,Toastie,"array([-33.04870828,  13.88268645])"
1745,kzin,"array([-51.34087203,  21.18464911])"
1746,epsalon,"array([-49.59726641,  24.6307324 ])"
1747,booch,"array([-6.91852215, 45.53605811])"
1748,stevex,"array([-1.81797423, 52.6803624 ])"
1749,sdt,"array([-13.06436246,  22.58527428])"
1750,Kalana,"array([-11.34778241,  36.46438387])"
1751,lauris,"array([-21.18793835,  32.97787457])"
1752,tml,"array([-11.36554453,  31.33289154])"
1753,ettore,"array([-18.17861027,  33.41429385])"
1754,gav,"array([-7.77317185, 25.02863735])"
1755,bbrox,"array([-18.36555035,  29.48931725])"
1756,bwh,"array([-16.31071087,  23.75303163])"
1757,deuxpi,"array([203.63437649, 369.0014344 ])"
1758,fatjim,"array([-11.40881165,  44.05889446])"
1759,Hoekstra,"array([-39.74925855,  65.76874261])"
1760,philhunt,"array([-27.11494567,  58.71874362])"
1761,judell,"array([-21.58885419,  57.21741006])"
1762,davidjclark,"array([-58.13479803,  74.01569169])"
1763,shapr,"array([-33.7130318 ,  36.84322402])"
1764,jae,"array([-25.25291598,  40.73094575])"
1765,gward,"array([-40.17620966,  47.72942742])"
1766,karl,"array([-41.47582254,  56.2081516 ])"
1767,Uche,"array([-43.81750666,  38.8814242 ])"
1768,tseaver,"array([-44.55532366,  39.88162331])"
1769,benh,"array([-31.36272741,  18.92867341])"
1770,owens,"array([-44.57786781,  -3.05055857])"
1771,solovay,"array([-54.09812724,  23.263279  ])"
1772,trage,"array([-45.89777128,  27.68850292])"
1773,pjcabrera,"array([-44.17710955,  28.24383778])"
1774,pasky,"array([-35.13070771,  25.09011808])"
1775,chorand,"array([-56.64505844,  -3.60477567])"
1776,sral,"array([-48.60518239,  25.04057704])"
1777,wildweasel,"array([-52.53098177,  39.93476608])"
1778,kwoo,"array([-37.83774371,  34.8870341 ])"
1779,blm,"array([-36.51339133,  30.66512905])"
1780,dtucker,"array([-41.34953387,  32.61168049])"
1781,Monty,"array([-58.90413618,  18.25075363])"
1782,jwboyer,"array([-37.4114657 ,   1.66206298])"
1783,bagpuss,"array([-61.42384734,   3.62261311])"
1784,Patrekur,"array([-12.4672086 , 385.18136735])"
1785,srn,"array([-16.33432454,  21.63853621])"
1786,mvt,"array([333.69716642, -14.15196802])"
1787,physos,"array([-44.22668862,  12.12026088])"
1788,isenguard,"array([-14.07914995,  52.29471989])"
1789,mike,"array([ 3.50743686, 70.09657949])"
1790,steintr,"array([-1.41408461, 43.61202503])"
1791,triona,"array([-7.87887752,  3.59142474])"
1792,bruns,"array([-10.81885734,  13.19199622])"
1793,trelane,"array([-23.51245104,  18.54560827])"
1794,coywolf,"array([-28.81593184,  10.75831353])"
1795,aslam,"array([-231.54485799, -212.10133399])"
1796,akihabara,"array([-19.47520385,  23.63287542])"
1797,duncanm,"array([-21.95144337,  36.13727107])"
1798,quinlan,"array([-24.91096565,  35.76253654])"
1799,glenn,"array([-22.42131408,  41.85788226])"
1800,Dacta,"array([-20.75103131,  50.13582017])"
1801,sushant1980,"array([307.3916573 ,  -8.88748889])"
1802,dsf,"array([-25.75680581,  10.2235108 ])"
1803,terop,"array([-20.63269559,  23.34994247])"
1804,malcom,"array([-15.21967998, -10.29716776])"
1805,vijay14,"array([ 86.90902288, 319.44709714])"
1806,dpavlin,"array([35.11052557, 46.28138703])"
1807,Nygard,"array([-50.61523422,  26.7890246 ])"
1808,KlausWuestefeld,"array([-47.25618283,  23.94419332])"
1809,vandango,"array([-270.64096602,  261.27970053])"
1810,beret,"array([-28.35102542,  41.91961862])"
1811,brg,"array([-35.71276631,  47.46723673])"
1812,shd,"array([-20.2042743 ,  26.79046355])"
1813,Szilva,"array([-39.73352715,  20.58456175])"
1814,harvey,"array([-19.87249232,  34.78268828])"
1815,maragato,"array([-29.2433837 ,  26.89810208])"
1816,cturner,"array([-25.31131876,  23.52043252])"
1817,bodo,"array([-17.38775704,  45.74009707])"
1818,ksandstr,"array([-27.47055085,  32.24503384])"
1819,mdanish,"array([-44.47844399,  36.77065263])"
1820,rmj,"array([-2.6147098 ,  0.53403774])"
1821,starsofexportsco,"array([-46.60432943,  28.38997115])"
1822,Eitch,"array([-22.57466322,  19.06906123])"
1823,wacky,"array([-29.45349569,  25.11321553])"
1824,jeffalo,"array([-56.02037621,  34.38977964])"
1825,scrottie,"array([-46.22959791,  39.44262711])"
1826,bstpierre,"array([-36.82047178,  33.19887628])"
1827,rob,"array([-77.05145244,  59.59187128])"
1828,Bopon,"array([-78.49298557,  43.42118564])"
1829,rcastro,"array([-30.56038504,  12.19411197])"
1830,lsdrocha,"array([-39.66063829,  28.25403854])"
1831,magsilva,"array([-37.37086779,  21.91007162])"
1832,livio,"array([-30.88015676,   4.10073754])"
1833,LenZ,"array([-16.45708701,  38.03052256])"
1834,darkworm,"array([-14.06225761,  27.5615704 ])"
1835,Stalker,"array([-0.82268832, 50.27037134])"
1836,khk,"array([-7.53625419, 31.58079879])"
1837,khemicals,"array([-7.87228521, 40.82117735])"
1838,dto,"array([-22.79977093,  29.62725604])"
1839,ricardo,"array([-21.12575969,  28.37277761])"
1840,maubury,"array([-10.75999826,  18.87185564])"
1841,KaiL,"array([-14.88435562,  23.57925389])"
1842,mattsm,"array([2.97085976, 7.19635542])"
1843,almer,"array([-28.44988374,  34.34375745])"
1844,ViGueTo,"array([-17.43712723,  10.18459452])"
1845,grex,"array([-20.61132255,  19.25112257])"
1846,sopwith,"array([-25.07141388,  37.18986034])"
1847,dsevilla,"array([-15.51116584,  16.77570966])"
1848,pau,"array([-20.27312481,  30.01754788])"
1849,yaneti,"array([-0.75200317, 17.69788521])"
1850,louie,"array([-28.38500915,  27.14411827])"
1851,mpesenti,"array([-36.76945919,  18.71858514])"
1852,stwn,"array([-3.27246707, -1.10363263])"
1853,rojaro,"array([-27.33383747,  64.73718452])"
1854,ladis,"array([-23.46263585,  12.89460266])"
1855,ralf,"array([-20.70994932,  24.32521708])"
1856,pkot,"array([-24.67290032,   7.88775906])"
1857,minipanda,"array([-26.50193967,  14.61987305])"
1858,Sorcerer13,"array([ 1.53762241, 59.68171719])"
1859,jdube,"array([-20.41999642,  44.88972929])"
1860,edwin,"array([-36.65865988,  71.65268484])"
1861,gelderen,"array([-31.09520955,  59.16417303])"
